,SwimClub,SurfClub,FilmClub,BookClub,HistoryClub,MangaClub,Ambassadors
Austin.Sam,0,0,0,0,0,0,1
Baldwin.Alan,0,0,0,0,0,0,1
Barnard.Julie,0,0,0,0,1,0,0
Blake.Joan,1,0,0,0,0,0,0
Boyle.Richard,0,0,0,0,0,1,1
Bradlee.Charles,0,0,0,0,1,0,0
Bray.George,1,0,0,0,0,0,0
Campbell.John,0,0,0,0,1,0,0
Church.Joanne,0,0,1,1,0,1,1
Cooper.Anne,0,0,0,1,1,0,0
Dexter.Felicity,0,0,0,1,0,0,0
Flagg.Josh,1,0,0,0,0,0,0
Gill.Austin,0,0,0,0,0,0,1
Greene.Brian,0,0,0,0,1,0,0
Hammond.Christine,0,0,0,0,1,0,0
Hobbs.Tiffany,0,0,0,0,1,0,0
Jarvis.Elaine,0,0,0,0,0,0,1
Lee.Cindy,0,0,0,0,1,0,0
Lewis.Phillip,1,0,0,0,0,0,0
Marshall.John,0,0,0,0,0,0,1
Palmer.Marie,0,0,0,0,1,0,0
Peters.John,0,0,0,0,1,0,0
Phillips.Mark,1,0,0,0,0,0,0
Porter.Kevin,1,1,0,0,1,0,0
Quincy.Alexandra,0,0,0,1,0,1,0
Russell.Joseph,0,0,0,0,1,0,0
Vernon.Frank,0,0,0,0,0,0,1
White.Alan,1,1,1,0,0,0,0
Young.Cameron,1,1,1,0,1,1,0
